START;GOAL;WINRATE;ROUNDS;DURATION;ROUNDDURATION;MILESTONES_ON
Shieldbearer;Sea Giant;0.45;888.596;81.4546333333;5.5;true
Shieldbearer;Sea Giant;0.45;888.596;103.6695333333;7;true
Shieldbearer;Sea Giant;0.45;888.596;122.18195;8.25;true
Shieldbearer;Sea Giant;0.45;888.596;155.5043;10.5;true
Shieldbearer;Sea Giant;0.48;481.926;44.17655;5.5;true
Shieldbearer;Sea Giant;0.48;481.926;56.2247;7;true
Shieldbearer;Sea Giant;0.48;481.926;66.264825;8.25;true
Shieldbearer;Sea Giant;0.48;481.926;84.33705;10.5;true
Shieldbearer;Sea Giant;0.5;350.242;32.1055166667;5.5;true
Shieldbearer;Sea Giant;0.5;350.242;40.8615666667;7;true
Shieldbearer;Sea Giant;0.5;350.242;48.158275;8.25;true
Shieldbearer;Sea Giant;0.5;350.242;61.29235;10.5;true
Shieldbearer;Sea Giant;0.52;272.001;24.933425;5.5;true
Shieldbearer;Sea Giant;0.52;272.001;31.73345;7;true
Shieldbearer;Sea Giant;0.52;272.001;37.4001375;8.25;true
Shieldbearer;Sea Giant;0.52;272.001;47.600175;10.5;true
Shieldbearer;Sea Giant;0.55;204.812;18.7744333333;5.5;true
Shieldbearer;Sea Giant;0.55;204.812;23.8947333333;7;true
Shieldbearer;Sea Giant;0.55;204.812;28.16165;8.25;true
Shieldbearer;Sea Giant;0.55;204.812;35.8421;10.5;true
Shieldbearer;Sea Giant;0.57;170.412;15.6211;5.5;true
Shieldbearer;Sea Giant;0.57;170.412;19.8814;7;true
Shieldbearer;Sea Giant;0.57;170.412;23.43165;8.25;true
Shieldbearer;Sea Giant;0.57;170.412;29.8221;10.5;true
Shieldbearer;Sea Giant;0.6;138.429;12.689325;5.5;true
Shieldbearer;Sea Giant;0.6;138.429;16.15005;7;true
Shieldbearer;Sea Giant;0.6;138.429;19.0339875;8.25;true
Shieldbearer;Sea Giant;0.6;138.429;24.225075;10.5;true
Shieldbearer;Sea Giant;0.62;120.882;11.08085;5.5;true
Shieldbearer;Sea Giant;0.62;120.882;14.1029;7;true
Shieldbearer;Sea Giant;0.62;120.882;16.621275;8.25;true
Shieldbearer;Sea Giant;0.62;120.882;21.15435;10.5;true
Shieldbearer;Sea Giant;0.65;101.525;9.3064583333;5.5;true
Shieldbearer;Sea Giant;0.65;101.525;11.8445833333;7;true
Shieldbearer;Sea Giant;0.65;101.525;13.9596875;8.25;true
Shieldbearer;Sea Giant;0.65;101.525;17.766875;10.5;true
Shieldbearer;Sea Giant;0.45;2704.984;247.9568666667;5.5;false
Shieldbearer;Sea Giant;0.45;2704.984;315.5814666667;7;false
Shieldbearer;Sea Giant;0.45;2704.984;371.93530;8.25;false
Shieldbearer;Sea Giant;0.45;2704.984;473.3722;10.5;false
Shieldbearer;Sea Giant;0.48;727.179;66.658075;5.5;false
Shieldbearer;Sea Giant;0.48;727.179;84.83755;7;false
Shieldbearer;Sea Giant;0.48;727.179;99.9871125;8.25;false
Shieldbearer;Sea Giant;0.48;727.179;127.256325;10.5;false
Shieldbearer;Sea Giant;0.5;443.97;40.69725;5.5;false
Shieldbearer;Sea Giant;0.5;443.97;51.7965;7;false
Shieldbearer;Sea Giant;0.5;443.97;61.045875;8.25;false
Shieldbearer;Sea Giant;0.5;443.97;77.69475;10.5;false
Shieldbearer;Sea Giant;0.52;317.744;29.1265333333;5.5;false
Shieldbearer;Sea Giant;0.52;317.744;37.0701333333;7;false
Shieldbearer;Sea Giant;0.52;317.744;43.68980;8.25;false
Shieldbearer;Sea Giant;0.52;317.744;55.6052;10.5;false
Shieldbearer;Sea Giant;0.55;217.361;19.9247583333;5.5;false
Shieldbearer;Sea Giant;0.55;217.361;25.3587833333;7;false
Shieldbearer;Sea Giant;0.55;217.361;29.8871375;8.25;false
Shieldbearer;Sea Giant;0.55;217.361;38.038175;10.5;false
Shieldbearer;Sea Giant;0.57;179.712;16.4736;5.5;false
Shieldbearer;Sea Giant;0.57;179.712;20.9664;7;false
Shieldbearer;Sea Giant;0.57;179.712;24.71040;8.25;false
Shieldbearer;Sea Giant;0.57;179.712;31.4496;10.5;false
Shieldbearer;Sea Giant;0.6;145.048;13.2960666667;5.5;false
Shieldbearer;Sea Giant;0.6;145.048;16.9222666667;7;false
Shieldbearer;Sea Giant;0.6;145.048;19.94410;8.25;false
Shieldbearer;Sea Giant;0.6;145.048;25.3834;10.5;false
Shieldbearer;Sea Giant;0.62;127.725;11.708125;5.5;false
Shieldbearer;Sea Giant;0.62;127.725;14.90125;7;false
Shieldbearer;Sea Giant;0.62;127.725;17.5621875;8.25;false
Shieldbearer;Sea Giant;0.62;127.725;22.351875;10.5;false
Shieldbearer;Sea Giant;0.65;106.461;9.758925;5.5;false
Shieldbearer;Sea Giant;0.65;106.461;12.42045;7;false
Shieldbearer;Sea Giant;0.65;106.461;14.6383875;8.25;false
Shieldbearer;Sea Giant;0.65;106.461;18.630675;10.5;false
